Data,x,y,b1,b2,b3,b4,b5,

Data,153,-36,0,0,0,0,0,

Data,138,-36,0,0,0,0,0,

Data,153,-36,0,0,0,0,0,

Data,140,-36,0,0,0,0,0,

Data,153,-36,0,0,0,0,0,

Data,140,-36,0,0,0,0,0,

Data,155,-36,0,0,0,0,0,

Data,141,-36,0,0,0,0,0,

Data,153,-36,0,0,0,0,0,

Data,137,-36,0,0,0,0,0,

Data,153,-36,0,0,0,0,0,

Data,139,-36,0,0,0,0,0,

Data,153,-36,0,0,0,0,0,

Data,140,-36,0,0,0,0,0,

Data,154,-36,0,0,0,0,0,

Data,143,-36,0,0,0,0,0,

Data,157,-36,0,0,0,0,0,

Data,145,-36,0,0,0,0,0,

Data,158,-36,0,0,0,0,0,

Data,142,-36,0,0,0,0,0,

Data,156,-36,0,0,0,0,0,

Data,140,-36,0,0,0,0,0,

Data,154,-36,0,0,0,0,0,

Data,141,-36,0,0,0,0,0,

Data,154,-36,0,0,0,0,0,

Data,142,-36,0,0,0,0,0,

Data,155,-36,0,0,0,0,0,

Data,144,-36,0,0,0,0,0,

Data,160,-36,0,0,0,0,0,

Data,146,-36,0,0,0,0,0,

Data,160,-36,0,0,0,0,0,

Data,146,-36,0,0,0,0,0,

Data,160,-36,0,0,0,0,0,

Data,148,-36,0,0,0,0,0,

Data,162,-36,0,0,0,0,0,

Data,149,-36,0,0,0,0,0,

Data,160,-36,0,0,0,0,0,

Data,146,-36,0,0,0,0,0,

Data,160,-36,0,0,0,0,0,

Data,148,-36,0,0,0,0,0,

Data,164,-36,0,0,0,0,0,

Data,150,-36,0,0,0,0,0,

Data,164,-36,0,0,0,0,0,

Data,152,-36,0,0,0,0,0,

Data,169,-36,0,0,0,0,0,

Data,159,-36,0,0,0,0,0,

Data,175,-36,0,0,0,0,0,

Data,167,-36,0,0,0,0,0,

Data,186,-36,0,0,0,0,0,

Data,179,-36,0,0,0,0,0,

Data,200,-36,0,0,0,0,0,

Data,191,-36,0,0,0,0,0,

Data,209,-36,0,0,0,0,0,

Data,199,-36,0,0,0,0,0,

Data,217,-36,0,0,0,0,0,

Data,214,-36,0,0,0,0,0,

Data,238,-36,0,0,0,0,0,

Data,238,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,255,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,243,-36,0,0,0,0,0,

Data,250,-36,0,0,0,0,0,

Data,232,-36,0,0,0,0,0,

Data,242,-36,0,0,0,0,0,

Data,223,-36,0,0,0,0,0,

Data,231,-36,0,0,0,0,0,

Data,213,-36,0,0,0,0,0,

Data,220,-36,0,0,0,0,0,

Data,199,-36,0,0,0,0,0,

Data,208,-36,0,0,0,0,0,

Data,188,-36,0,0,0,0,0,

Data,197,-36,0,0,0,0,0,

Data,180,-36,0,0,0,0,0,

Data,189,-36,0,0,0,0,0,

Data,173,-36,0,0,0,0,0,

Data,181,-36,0,0,0,0,0,

