Data,x,y,pin1,pin2,pin3,pin4,pin5,

Data,123,-37,0,0,0,0,0,

Data,117,-37,0,0,0,0,0,

Data,126,-37,0,0,0,0,0,

Data,120,-37,0,0,0,0,0,

Data,128,-37,0,0,0,0,0,

Data,121,-37,0,0,0,0,0,

Data,128,-37,0,0,0,0,0,

Data,121,-37,0,0,0,0,0,

Data,127,-37,0,0,0,0,0,

Data,120,-37,0,0,0,0,0,

Data,126,-37,0,0,0,0,0,

Data,117,-37,0,0,0,0,0,

Data,122,-37,0,0,0,0,0,

Data,115,-37,0,0,0,0,0,

Data,121,-37,0,0,0,0,0,

Data,114,-37,0,0,0,0,0,

Data,120,-37,0,0,0,0,0,

Data,116,-37,0,0,0,0,0,

Data,122,-37,0,0,0,0,0,

Data,116,-37,0,0,0,0,0,

Data,121,-37,0,0,0,0,0,

Data,114,-37,0,0,0,0,0,

Data,120,-37,0,0,0,0,0,

Data,113,-37,0,0,0,0,0,

Data,119,-37,0,0,0,0,0,

Data,114,-37,0,0,0,0,0,

Data,121,-37,0,0,0,0,0,

Data,117,-37,0,0,0,0,0,

Data,124,-37,0,0,0,0,0,

Data,121,-37,0,0,0,0,0,

Data,126,-37,0,0,0,0,0,

Data,120,-37,0,0,0,0,0,

Data,124,-37,0,0,0,0,0,

Data,118,-37,0,0,0,0,0,

Data,123,-37,0,0,0,0,0,

Data,118,-37,0,0,0,0,0,

Data,122,-37,0,0,0,0,0,

Data,115,-37,0,0,0,0,0,

Data,120,-37,0,0,0,0,0,

Data,115,-37,0,0,0,0,0,

Data,121,-37,0,0,0,0,0,

Data,117,-37,0,0,0,0,0,

Data,122,-37,0,0,0,0,0,

Data,115,-37,0,0,0,0,0,

Data,121,-37,0,0,0,0,0,

Data,116,-37,0,0,0,0,0,

Data,123,-37,0,0,0,0,0,

Data,120,-37,0,0,0,0,0,

Data,126,-37,0,0,0,0,0,

Data,122,-37,0,0,0,0,0,

Data,128,-37,0,0,0,0,0,

Data,126,-37,0,0,0,0,0,

Data,130,-37,0,0,0,0,0,

Data,123,-37,0,0,0,0,0,

Data,123,-37,0,0,0,0,0,

Data,115,-37,0,0,0,0,0,

Data,115,-37,0,0,0,0,0,

Data,108,-37,0,0,0,0,0,

Data,107,-37,0,0,0,0,0,

Data,102,-37,0,0,0,0,0,

Data,103,-37,0,0,0,0,0,

Data,96,-37,0,0,0,0,0,

Data,91,-37,0,0,0,0,0,

Data,80,-37,0,0,0,0,0,

Data,73,-37,0,0,0,0,0,

Data,64,-37,0,0,0,0,0,

Data,64,-37,0,0,0,0,0,

Data,59,-37,0,0,0,0,0,

Data,58,-37,0,0,0,0,0,

Data,50,-37,0,0,0,0,0,

Data,48,-37,0,0,0,0,0,

Data,40,-37,0,0,0,0,0,

Data,39,-37,0,0,0,0,0,

Data,33,-37,0,0,0,0,0,

Data,33,-37,0,0,0,0,0,

Data,27,-37,0,0,0,0,0,

Data,28,-37,0,0,0,0,0,

Data,24,-37,0,0,0,0,0,

Data,24,-37,0,0,0,0,0,

Data,17,-37,0,0,0,0,0,

Data,15,-37,0,0,0,0,0,

Data,7,-37,0,0,0,0,0,

Data,5,-37,0,0,0,0,0,

Data,-1,-37,0,0,0,0,0,

Data,0,-37,0,0,0,0,0,

Data,-4,-37,0,0,0,0,0,

Data,-6,-37,0,0,0,0,0,

Data,-12,-37,0,0,0,0,0,

Data,-14,-37,0,0,0,0,0,

Data,-20,-37,0,0,0,0,0,

Data,-20,-37,0,0,0,0,0,

Data,-24,-37,0,0,0,0,0,

Data,-22,-37,0,0,0,0,0,

Data,-28,-37,0,0,0,0,0,

Data,-31,-37,0,0,0,0,0,

Data,-37,-37,0,0,0,0,0,

