Data,xfilt,yfilt,xRaw,yRaw,pin0,pin1,pin2,pin3,pin4,

Data,75,-14,193,-37,0,0,0,0,0,

Data,169,-32,199,-37,0,0,0,0,0,

Data,190,-36,194,-37,0,0,0,0,0,

Data,195,-36,199,-37,0,0,0,0,0,

Data,196,-36,193,-37,0,0,0,0,0,

Data,196,-36,199,-37,0,0,0,0,0,

Data,196,-36,192,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,196,-36,192,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,196,-36,192,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,196,-36,194,-37,0,0,0,0,0,

Data,197,-36,201,-37,0,0,0,0,0,

Data,198,-36,195,-37,0,0,0,0,0,

Data,198,-36,201,-37,0,0,0,0,0,

Data,198,-36,195,-37,0,0,0,0,0,

Data,198,-36,201,-37,0,0,0,0,0,

Data,197,-36,193,-37,0,0,0,0,0,

Data,196,-36,200,-37,0,0,0,0,0,

Data,197,-36,195,-37,0,0,0,0,0,

Data,198,-36,202,-37,0,0,0,0,0,

Data,198,-36,194,-37,0,0,0,0,0,

Data,198,-36,200,-37,0,0,0,0,0,

Data,197,-36,193,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,195,-36,191,-37,0,0,0,0,0,

Data,194,-36,197,-37,0,0,0,0,0,

Data,194,-36,192,-37,0,0,0,0,0,

Data,194,-36,198,-37,0,0,0,0,0,

Data,194,-36,192,-37,0,0,0,0,0,

Data,195,-36,200,-37,0,0,0,0,0,

Data,197,-36,195,-37,0,0,0,0,0,

Data,198,-36,202,-37,0,0,0,0,0,

Data,199,-36,197,-37,0,0,0,0,0,

Data,200,-36,202,-37,0,0,0,0,0,

Data,200,-36,196,-37,0,0,0,0,0,

Data,199,-36,201,-37,0,0,0,0,0,

Data,198,-36,195,-37,0,0,0,0,0,

Data,198,-36,202,-37,0,0,0,0,0,

Data,198,-36,196,-37,0,0,0,0,0,

Data,198,-36,202,-37,0,0,0,0,0,

Data,198,-36,196,-37,0,0,0,0,0,

Data,198,-36,201,-37,0,0,0,0,0,

Data,198,-36,194,-37,0,0,0,0,0,

Data,198,-36,200,-37,0,0,0,0,0,

Data,197,-36,193,-37,0,0,0,0,0,

Data,196,-36,199,-37,0,0,0,0,0,

Data,196,-36,192,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,196,-36,193,-37,0,0,0,0,0,

Data,197,-36,201,-37,0,0,0,0,0,

Data,198,-36,194,-37,0,0,0,0,0,

Data,198,-36,201,-37,0,0,0,0,0,

Data,198,-36,194,-37,0,0,0,0,0,

Data,198,-36,200,-37,0,0,0,0,0,

Data,197,-36,192,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,196,-36,192,-37,0,0,0,0,0,

Data,196,-36,199,-37,0,0,0,0,0,

Data,197,-36,195,-37,0,0,0,0,0,

Data,198,-36,202,-37,0,0,0,0,0,

Data,198,-36,195,-37,0,0,0,0,0,

Data,198,-36,202,-37,0,0,0,0,0,

Data,199,-36,197,-37,0,0,0,0,0,

Data,200,-36,203,-37,0,0,0,0,0,

Data,200,-36,196,-37,0,0,0,0,0,

Data,199,-36,201,-37,0,0,0,0,0,

Data,197,-36,193,-37,0,0,0,0,0,

Data,196,-36,200,-37,0,0,0,0,0,

